Unnamed: 0,belongs_to_collection,budget,genres,homepage,id,tconst,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,return,sub_genres,Rating,numVotes,poster_path,,,,,Rating5
44677,,,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 10770, 'name': 'TV Movie'}]",,374430,tt3973198,en,Black Mirror: White Christmas,"This feature-length special consists of three interwoven stories. In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world. Matt is a charismatic American trying to bring the reserved, secretive Potter out of his shell. But are both men who they appear to be? A woman gets thrust into a nightmarish world of 'smart' gadgetry. Plus a look at what would happen if you could 'block' people in real life.",24.910782,[],[],12/16/2014,,74,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Black Mirror: White Christmas,FALSE,8.3,211,2014,,alien/,9.2,33120,http://image.tmdb.org/t/p/w185//he609rnU3tiwBjRklKNa4n2jQSd.jpg,,,,,4.6
40472,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,409696,tt3718778,en,Over the Garden Wall,Two brothers find themselves lost in a mysterious land and try to find their way home.,2.802111,"[{'name': 'Cartoon Network Studios', 'id': 7899}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/3/2014,,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Over the Garden Wall,FALSE,8.2,52,2014,,robot/robot/fantasy/techno/,8.9,24837,http://image.tmdb.org/t/p/w185//2kcGFbt768xAiqvj748FFlO9Gvl.jpg,,,,,4.45
7000,"{'id': 119, 'name': 'The Lord of the Rings Collection', 'poster_path': '/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg', 'backdrop_path': '/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg'}",94000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.lordoftherings.net,122,tt0167260,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/1/2003,1118888979,201,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,FALSE,8.1,8226,2003,11.90307424,time_travel/dystopian/fantasy/,8.9,1437868,http://image.tmdb.org/t/p/w185//uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,,,,,4.45
1154,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,1891,tt0080684,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",19.470959,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/17/1980,538400000,124,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Adventure Continues...,The Empire Strikes Back,FALSE,8.2,5998,1980,29.91111111,space/space/robot/robot/time_travel/dystopian/,8.8,1014307,http://image.tmdb.org/t/p/w185//6u1fYtxG5eqjhtCPDx04pJphQRW.jpg,,,,,4.4
12846,,,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,43680,tt0096126,ru,?í???????ç?î?? ?ü???Ç???å??,"Old Prof. Preobrazhensky and his young colleague Dr. Bormental inserted the human's hypophysis into a dog's brain. Couple of weeks later the dog became ""human looking"". The main question is ""Is anybody who is looking like a man, A REAL MAN?""",2.870907,"[{'name': 'Lenfilm', 'id': 10845}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1/1/1988,,136,"[{'iso_639_1': 'ru', 'name': 'P?â?ü?ü??????'}]",Released,,Heart of a Dog,FALSE,7.1,38,1988,,alien/robot/robot/,8.8,5431,http://image.tmdb.org/t/p/w185//dT62tOsTB73lCBkcZ0pWcsktfyr.jpg,,,,,4.4
15480,,160000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",http://inceptionmovie.warnerbros.com/,27205,tt1375666,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Syncopy', 'id': 9996}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",7/14/2010,825532764,148,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Your mind is the scene of the crime.,Inception,FALSE,8.1,14075,2010,5.159579775,alien/robot/robot/,8.8,1768081,http://image.tmdb.org/t/p/w185//qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,,,,,4.4
34640,,,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,84368,tt0214915,ml,??«??ú?????Ü??ì??Ü?????ñ??ì?????ñ??ì??ñ????????ì,"A young couple, Ganga (Shobana) and Nakulan (Suresh Gopi), arrives at the ancestral home tharavadu called Madampalli of the latter. Hailing from a family that follows tradition and superstitions, Nakulan's uncle Thampi (Nedumudi Venu) objects to the couple's idea of moving into the allegedly haunted mansion, which Nakulan ignores. The couple moves in anyway following which seemingly supernatural events begin to happen.",0.927886,"[{'name': 'Swargachitra', 'id': 18229}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",12/25/1993,,169,"[{'iso_639_1': 'ta', 'name': '?«ñ?««?«??«??»ì'}, {'iso_639_1': 'ml', 'name': ''}]",Released,The Ornate Lock,Manichitrathazhu,FALSE,7.4,9,1993,,robot/robot/super/fantasy/,8.8,5878,http://image.tmdb.org/t/p/w185//ApYu4IL4kKqHqBOh28NXYaOMVgS.jpg,,,,,4.4
4863,"{'id': 119, 'name': 'The Lord of the Rings Collection', 'poster_path': '/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg', 'backdrop_path': '/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg'}",93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.lordoftherings.net/,120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/18/2001,871368364,178,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,FALSE,8,8892,2001,9.369552301,time_travel/dystopian/fantasy/,8.8,1454573,http://image.tmdb.org/t/p/w185//bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,,,,,4.4
35528,,,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,55138,tt0187231,sr,Lajanje na zvezde,Comedy about teachers and students at a high school in a small provincial town. Mihailo tries to win the heart of a girl his brother is also chasing.,1.00088,"[{'name': 'Komuna', 'id': 653}, {'name': 'Radio Televizija Srbije (RTS)', 'id': 67005}]","[{'iso_3166_1': 'YU', 'name': 'Yugoslavia'}]",6/1/1998,,95,"[{'iso_639_1': 'sr', 'name': 'Srpski'}]",Released,,Barking at the Stars,FALSE,7,6,1998,,space/space/robot/robot/,8.7,5504,http://image.tmdb.org/t/p/w185//nr7oRU2qQN0VnSSFRJLEF2EVxyf.jpg,,,,,4.35
2458,"{'id': 2344, 'name': 'The Matrix Collection', 'poster_path': '/lh4aGpd3U9rm9B8Oqr6CUgQLtZL.jpg', 'backdrop_path': '/RhUxjzNojIJsdZSYTn0CQvdKsn.jpg'}",63000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.warnerbros.com/matrix,603,tt0133093,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",33.366332,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Groucho II Film Partnership', 'id': 372}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",3/30/1999,463517383,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Welcome to the Real World.,The Matrix,FALSE,7.9,9079,1999,7.357418778,time_travel/techno/,8.7,1449349,http://image.tmdb.org/t/p/w185//hEpWvX6Bp79eLxY1kX5ZZJcme5U.jpg,,,,,4.35
5814,"{'id': 119, 'name': 'The Lord of the Rings Collection', 'poster_path': '/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg', 'backdrop_path': '/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg'}",79000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.lordoftherings.net/,121,tt0167261,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/18/2002,926287400,179,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,FALSE,8,7641,2002,11.72515696,space/space/robot/robot/time_travel/fantasy/,8.7,1299880,http://image.tmdb.org/t/p/w185//wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,,,,,4.35
256,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",11000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/25/1977,775398007,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A long time ago in a galaxy far, far away...",Star Wars,FALSE,8.1,6778,1977,70.49072791,space/space/robot/robot/time_travel/dystopian/,8.6,1084449,http://image.tmdb.org/t/p/w185//btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,,,,,4.3
